"","District","District_merge","state","abbrev","district_num","PVI","predicted_dem_voteshare","lwr_pred_interval","upr_pred_interval","se.fit","districtlabs","residual.scale","prob_dem_win","con_prob_dem_win","con_predicted_dem_voteshare","con_lwr_pred_interval","con_upr_pred_interval","STATEAB","CDLABEL"
"1","Alabama 1","AL-01","Alabama","AL","01","R+16",31.79,25.53,38.06,0.207549616812316,"AL01",4.88285912934037,0,0.01,31.68,22.82,40.55,"AL","1"
"2","Alabama 2","AL-02","Alabama","AL","02","R+17",30.86,24.6,37.13,0.220647527472769,"AL02",4.88285912934037,0.02,0,30.76,21.89,39.62,"AL","2"
"3","Alabama 3","AL-03","Alabama","AL","03","R+19",29.13,22.87,35.4,0.216431333987527,"AL03",4.88285912934037,0,0.01,29.02,20.16,37.89,"AL","3"
"4","Alabama 4","AL-04","Alabama","AL","04","R+33",16.74,10.47,23.01,0.288274930693758,"AL04",4.88285912934037,0,0,16.63,7.76,25.5,"AL","4"
"5","Alabama 5","AL-05","Alabama","AL","05","R+17",30.97,24.7,37.23,0.19986425128262,"AL05",4.88285912934037,0,0.01,30.86,21.99,39.72,"AL","5"
"6","Alabama 6","AL-06","Alabama","AL","06","R+18",30.07,23.81,36.34,0.203746301516447,"AL06",4.88285912934037,0,0.02,29.96,21.1,38.83,"AL","6"
"7","Alabama 7","AL-07","Alabama","AL","07","D+14",64.94,58.68,71.21,0.214464580371736,"AL07",4.88285912934037,99.89,99.76,64.84,55.97,73.7,"AL","7"
"8","Alaska at-large","AK-01","Alaska","AK","01","R+8",45.47,39.2,51.74,0.278419672055102,"AK01",4.88285912934037,16.97,18.3,45.36,36.49,54.23,"AK","AK"
"9","Arizona 1","AZ-01","Arizona","AZ","01","R+2",44.44,38.17,50.7,0.213145237119113,"AZ01",4.88285912934037,12.49,14,44.33,35.46,53.2,"AZ","1"
"10","Arizona 2","AZ-02","Arizona","AZ","02","R+6",47.22,40.95,53.49,0.270399510065933,"AZ02",4.88285912934037,28.25,28.14,47.11,38.24,55.98,"AZ","2"
"11","Arizona 3","AZ-03","Arizona","AZ","03","D+24",73.81,67.54,80.08,0.23955229853857,"AZ03",4.88285912934037,100,100,73.7,64.84,82.57,"AZ","3"
"12","Arizona 4","AZ-04","Arizona","AZ","04","D+2",54.44,48.17,60.71,0.221674020526882,"AZ04",4.88285912934037,81.49,79.25,54.33,45.47,63.2,"AZ","4"
"13","Arizona 5","AZ-05","Arizona","AZ","05","R+11",36.34,30.07,42.6,0.185946105751088,"AZ05",4.88285912934037,0.24,0.41,36.23,27.37,45.1,"AZ","5"
"14","Arizona 6","AZ-06","Arizona","AZ","06","R+3",43.46,37.19,49.72,0.196003887822855,"AZ06",4.88285912934037,9.26,10.39,43.35,34.48,52.21,"AZ","6"
